dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x6	y6	x5	y5	x4	y4	x3	y3	x15	y15	x14	y14	x13	y13	x12	y12	x11	y11
passiflora	actinia		left	5	10	14	36.71955007	332.1170884	39.55798357	304.844848	25.27946413	282.4967602	-12.56361462	286.1152949	464.975892	280.8221424	521.3519826	246.3850843	699.248664	-273.8216828	677.2571837	-351.6118297	-73.71985492	-1372.109322
passiflora	actinia		left	6	9	14	8.950841229	377.7882881	16.08821608	360.953878	5.415448339	334.4138702	-28.69324292	351.4915329	568.8114254	256.2799579	607.9318542	191.9937043	645.2680582	-420.5676424	615.1043796	-518.5452703	47.07213926	-1247.075835
passiflora	actinia		left	7	8	14	17.14953017	336.8318751	26.02600257	318.4451374	8.874215335	299.0272429	-31.30851378	305.5778798	508.8309699	285.4768094	568.9484889	248.7578637	686.875116	-382.0358381	670.6475702	-465.7810386	24.80651963	-1312.659216
passiflora	actinia		left	8	7	14	-0.771611118	308.2958194	12.63888818	287.9147344	4.722571498	258.8418679	-41.52384437	256.9355007	510.4964923	226.7041468	583.4140787	158.075816	715.4362189	-187.1849216	693.5676727	-381.0903785	32.1312819	-1359.711474
passiflora	actinia		left	9	6	14	20.27751301	330.0507977	26.72934023	304.7837442	16.37261409	270.1840151	-29.45537672	302.5996258	540.8929388	211.5848925	590.0836516	145.468242	719.3725306	-208.2494344	715.0869459	-358.5610471	-54.61629996	-1316.968216
passiflora	actinia		left	10	5	14	29.59825429	358.5178891	39.13260281	337.2830764	35.00458974	302.5944316	-6.691968763	298.5104015	425.6053715	299.330977	497.1523031	258.6552214	722.9566149	-411.4888863	695.4956435	-540.8956164	55.01342016	-1260.724864
passiflora	actinia		left	11	4	14	-12.80301013	385.3559913	-12.37956915	364.8946727	-5.453562388	308.6056734	-57.89578809	365.5984124	497.0402421	243.5843152	558.1310303	175.8145148	668.9917526	-462.9570195	634.9650138	-527.2583696	36.73145482	-1215.219589
passiflora	actinia		left	12	3	14	16.85581068	357.2139177	22.58502398	331.4394073	1.991730128	313.2517396	-47.66622548	343.3542064	413.9398331	305.4823651	566.7671777	170.2074365	718.274776	-399.7854151	691.1770507	-501.9207829	28.6965939	-1258.360233
passiflora	actinia		left	13	2	14	31.69992554	440.8409736	28.82367101	406.8055823	20.43162726	248.525128	-26.99046852	332.0465089	602.5984724	152.2279253	624.6250379	67.12426328	670.9402418	-355.4358366	600.1378461	-489.1533667	16.41481392	-1084.761429
passiflora	actinia		left	14	1	14	75.53938599	503.903702	81.03249786	476.4817577	68.41426128	382.0115784	10.74945673	311.4023062	505.4866912	262.1910978	553.7911836	134.9602547	593.4462653	-404.7245439	526.8991503	-548.2511104	-131.8921769	-1038.593427
passiflora	actinia		left	1	23	23	45.2203058	350.5596474	44.27507828	325.6566195	17.56664839	290.7704565	-40.62617484	313.3051565	462.5800381	256.9887023	496.3154802	228.3677453	684.0993388	-283.9293901	657.9940741	-387.804001	-23.20452346	-1483.68403
passiflora	actinia		left	2	22	23	130.3821225	361.4053963	145.9637304	340.8726351	-1.416639085	406.5383695	-48.65334916	408.0613304	552.8400738	172.9558417	572.0248801	123.3330963	588.9551886	-307.9493333	580.0893608	-399.3432455	-61.02457457	-1322.736362
passiflora	actinia		left	3	21	23	-27.80928784	424.5885141	-26.35077881	403.2416159	-33.31377297	379.6026751	-67.37466287	388.4272872	549.3509818	239.2545362	593.4142094	171.9159072	574.9144551	-486.4957797	550.124647	-575.6949451	-32.38903128	-1216.021258
passiflora	actinia		left	4	20	23	60.2788696	422.8008987	64.73471559	402.8309435	54.97591107	382.6657781	16.05988417	394.6319217	484.760436	230.6311632	520.6759242	173.609816	533.8574492	-327.8022971	507.1585053	-422.986643	-41.6385822	-1381.586157
