dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	x1	y1	x2	y2	x3	y3	x4	y4	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11
passiflora	actinia		right	1	16	16	-25.71834271	383.6283353	-41.66092279	354.236358	-31.78555895	307.6837749	35.16950561	304.5486326	-528.3744844	212.3238181	-559.1127585	161.91498	-591.7658362	-316.4091226	-579.0920359	-423.8994903	-52.08569931	-1478.17302
passiflora	actinia		right	2	15	16	-37.42931587	446.947146	-42.45767811	426.1861094	-40.39760369	373.9596133	3.900078774	364.9230719	-562.5478827	284.0241713	-605.7155463	220.9429577	-503.202763	-530.6034922	-470.4538288	-594.3184588	76.45261759	-1060.447523
passiflora	actinia		right	3	14	16	-35.48887455	407.4482806	-47.79913836	390.4201395	-32.11722783	365.7837405	3.671322546	364.7404591	-517.7434641	251.9525834	-561.2728588	203.2174345	-567.944191	-450.5018111	-551.9257045	-493.1535238	43.42584643	-1347.020604
passiflora	actinia		right	4	13	16	-67.60781643	312.3266188	-70.4127543	299.7721012	-64.66186294	260.3750805	-12.49762371	261.6034962	-442.3194834	263.5974989	-485.8521846	239.6044254	-679.2726535	-207.5307486	-668.7571621	-273.657325	157.7611356	-1465.258921
passiflora	actinia		right	5	12	16	-53.49198702	337.8766816	-65.2133066	322.9078824	-56.58283126	290.9835531	-26.35214846	282.2870961	-387.9311824	310.7020777	-442.1951591	295.9491668	-674.8092137	-346.7168615	-666.5445332	-401.571493	76.49691409	-1449.339965
passiflora	actinia		right	6	11	16	-54.58630659	335.6656371	-59.98414932	315.1247311	-47.45534428	288.2013222	-9.22559627	282.6001809	-508.0091048	241.3033014	-555.8120723	197.0291681	-689.4348276	-281.9645686	-672.8649299	-344.9785439	112.2578272	-1357.943284
passiflora	actinia		right	7	10	16	-31.78751406	351.0084511	-36.98855645	332.3462749	-33.1010642	300.4505061	6.827780701	294.7625272	-410.1441908	284.5083087	-456.1291542	260.7269562	-643.7235796	-382.1404947	-631.101987	-426.0505737	5.481773496	-1483.02065
passiflora	actinia		right	8	9	16	3.085533516	349.7918438	-4.904631241	337.9491944	4.284067707	311.3356249	43.71456434	313.4300595	-454.6236475	224.0934529	-488.398037	193.0342964	-715.7192258	-403.1912909	-698.8025172	-476.3414428	-43.10568741	-1400.584011
passiflora	actinia		right	9	8	16	-40.50944658	446.6639834	-52.93824941	434.2148782	-33.77953298	407.4389022	0.674609828	397.898587	-523.5137668	199.7238391	-549.0018612	166.5311969	-568.8966502	-468.8289595	-566.3082264	-514.7553234	26.26562942	-1256.782101
passiflora	actinia		right	10	7	16	-29.97672424	403.9238305	-34.91220546	387.8902555	-25.83826682	356.5318381	13.87346062	352.2456102	-450.7623847	246.0457557	-488.9773251	218.7544454	-628.8581455	-464.9707895	-616.9016801	-518.1418237	-24.21403727	-1372.661142
passiflora	actinia		right	11	6	16	-19.91107318	381.9232665	-25.02604684	369.6946152	-20.62871659	336.3919361	15.63463345	333.3592546	-491.3182954	265.6513756	-547.2171681	233.299057	-671.8418762	-410.9410911	-654.3144625	-470.2988973	77.90554482	-1338.522241
passiflora	actinia		right	12	5	16	-50.56479197	341.8182944	-54.62045684	323.4888931	-46.95003017	288.9714556	-11.97132956	274.3739148	-471.4804831	270.1974168	-515.0335456	244.566293	-737.6323739	-351.156439	-727.7555147	-412.7772137	110.8060486	-1204.924457
passiflora	actinia		right	13	4	16	13.35431678	399.4301806	19.66548596	373.9164498	6.017892911	232.0718363	60.20720175	344.4930214	-683.3079048	0.961789257	-690.2235238	-46.13180486	-668.2439175	-289.2670439	-672.7560706	-346.0800918	-80.21686268	-1123.66453
passiflora	actinia		right	14	3	16	-71.3236552	400.2440414	-70.86895239	378.4687196	-59.98325731	271.2998138	-21.62239681	283.8384258	-507.6512185	203.5106968	-550.4399578	161.2186404	-661.2485122	-258.7982829	-645.7036915	-339.4682944	140.1167706	-1317.263067
passiflora	actinia		right	15	2	16	-46.21872799	425.7522707	-44.21453227	405.6078227	-41.15480592	327.6666698	1.762845327	320.9822197	-455.515336	277.0519664	-494.5866486	229.3471953	-602.1387581	-419.8371367	-580.7846106	-477.1792188	31.40091627	-1439.724173
passiflora	actinia		right	16	1	16	-82.43527746	440.8266919	-79.39894475	407.6894986	-84.65437233	285.818745	-24.97869341	234.8021099	-463.7170155	203.0602407	-519.3541834	158.3430563	-654.6502065	-230.7834043	-658.4655484	-305.3560841	153.0603792	-1404.434692
passiflora	actinia		right	1	25	25	-48.36218397	362.3949809	-53.77192361	337.5007196	-49.10616052	289.9236314	11.57116839	294.1770968	-333.096092	284.6153004	-395.0314604	252.6340671	-615.6868235	-385.1690131	-607.6747925	-473.3425691	-73.96662367	-1573.031517
passiflora	actinia		right	2	24	25	-5.173163705	365.8826553	-3.983611406	343.403529	7.667197986	303.6067977	66.66215919	309.3687609	-465.9691922	231.6309813	-520.8063861	185.6757694	-632.3477883	-385.200238	-633.8386905	-464.4810192	-53.33294981	-1525.529297
passiflora	actinia		right	3	23	25	-26.33895139	365.1523814	-33.17017478	350.0440881	-29.30378313	321.9823204	7.239666022	309.4847733	-419.5689855	301.254381	-462.7641992	265.1285864	-642.6713787	-421.5011799	-640.0078731	-463.4809692	14.90452994	-1458.95548
