family	dataset	species_pop	acc_morpho	year_side	from_tip	from_base	count	xA	yA	xB	yB	xC	yC	xD	yD	xE	yE	xF	yF	xG	yG	xH	yH	xI	yI
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	6	4	9	445.6071911	471.9485797	353.7069894	421.5808525	458.2271446	404.366963	525.4394236	388.8711368	-745.8897254	350.9882207	-716.6742018	294.1175784	-1155.603844	-700.6706748	173.0046097	-144.4136932	-85.61037195	-1958.174107
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	7	3	9	492.7675551	401.2062831	443.7063762	362.0627113	495.8921256	325.9623594	550.7530949	304.4622107	-721.9278962	543.6418186	-565.8587513	279.3227357	-1041.438854	-1004.159447	118.9507944	-200.5200164	-39.30328002	-2035.445968
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2013	7	6	12	471.8222621	419.663022	466.1672196	395.7290958	478.2346931	358.7616561	532.3269548	352.7953517	-771.2256502	444.8708431	-602.5092007	270.9179738	-1149.268034	-761.277244	-7.104937366	-109.3853728	66.38077982	-2058.450117
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2013	8	5	12	498.5071631	411.5670311	494.4037779	386.5932965	514.5248741	358.9965995	557.8139103	346.8099728	-730.5977319	486.1215767	-700.6592206	412.1083518	-1069.625529	-786.7555683	27.06008342	-293.7471593	32.20173192	-2003.147556
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2016	6	2	7	519.5483225	390.4227526	467.1821319	345.9333215	521.3594094	304.7129839	600.3913254	267.3256239	-839.7706119	712.9613389	-393.0195296	342.260242	-846.8876947	-666.1548966	25.16337004	-338.1954511	137.8286373	-1768.595794
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2017	4	6	9	485.320747	417.3667633	430.4966548	387.2716356	475.1697999	367.4169121	534.8234274	351.9892588	-707.1927783	353.5989253	-614.0901854	296.3153598	-917.6795755	-845.4658054	101.0826235	-212.3949152	-220.1478295	-2289.047666
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2016	1	7	7	465.1431963	506.632621	396.1615905	424.4343585	437.7662456	374.3848196	529.9272694	350.3769585	-673.4984322	187.2151279	-592.1626447	80.82158167	-951.3553467	-849.8427622	-56.84128172	-191.5180123	-423.8154314	-2321.811383
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2015	4	6	9	406.1521577	436.3301669	398.962959	413.2440631	427.1810358	388.1711098	483.8755172	386.5331023	-823.5683522	559.3062452	-258.3877413	288.4337914	-1106.473357	-808.6483822	95.99117616	-117.2679264	-56.27434125	-2159.038351
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2016	4	4	7	443.83448	392.4839009	380.8662498	380.6256619	460.4535313	346.9923534	511.0110737	319.5614933	-851.0848319	521.3097147	-695.9337271	376.6258726	-1002.447546	-748.2672094	81.51075599	-152.6786123	92.33718284	-2029.6925
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2013	6	7	12	410.1436928	431.0304739	396.5656371	408.2099495	422.8879184	366.6457412	480.6409081	359.8021143	-845.8711414	482.6723113	-232.217666	255.6693766	-1295.520173	-741.7941376	-43.24923299	-167.4993301	59.63878165	-2045.825542
grapevine	NY_germplasm	Ampelopsis_brevipedunculata	588538	2016	5	3	7	450.1862776	363.173061	389.6040708	320.5845048	440.6149538	282.8958624	510.0453825	261.927664	-701.7630345	628.3088341	-393.8477919	361.9884725	-1169.216604	-477.28109	51.53089213	-132.0652694	472.0309006	-1835.474112
grapevine	NY_germplasm	Vitis_acerifolia	588324	2013	8	6	13	454.1931283	456.1432271	445.2514095	426.1612931	461.7574688	384.5556373	520.2901299	408.5768593	-809.6733378	460.1253573	-602.9054804	384.7135554	-908.2790351	-1004.673877	-179.955842	-682.7093512	-248.5904502	-1589.776064
grapevine	NY_germplasm	Vitis_acerifolia	588442	2017	5	5	9	510.1298376	442.4559002	418.5462014	390.4717663	495.295179	364.3909804	572.0441566	338.3101946	-816.1945886	506.4521119	-706.763435	402.4463778	-879.2730929	-876.9802453	-487.2545238	-839.250678	140.5433222	-1969.12128
grapevine	NY_germplasm	Vitis_acerifolia	318684	2015	13	2	14	531.1883273	476.8847898	485.3768219	425.0426478	556.3516896	407.6404493	615.8138093	403.5594518	-921.805889	174.5447273	-812.7296229	177.7113025	-736.3140119	-1134.634719	-451.1330233	-825.1174351	-414.4409223	-1382.401344
grapevine	NY_germplasm	Vitis_acerifolia	1583	2017	2	4	5	465.165435	345.1033555	422.3835602	313.9873968	452.9016884	252.6563349	545.0497937	231.1179947	-598.0561956	699.6762808	-459.8278731	451.5102829	-1177.149988	-848.3732159	-276.9247977	-571.0074963	335.235366	-1885.886831
grapevine	NY_germplasm	Vitis_acerifolia	318684	2016	8	4	11	504.3819664	478.0560501	434.8411297	395.4520468	504.2497803	414.9445504	567.6888538	419.8003182	-880.1171708	491.7290842	-656.9788105	410.9654488	-798.7077873	-1016.481335	-342.5101364	-751.8442707	-136.6657727	-1829.379244
grapevine	NY_germplasm	Vitis_acerifolia	588325	2013	4	9	12	570.5167409	341.1168136	550.4742695	315.5085388	581.8177641	281.8866993	598.1590247	235.0730594	-923.5826137	426.822249	-714.8141089	357.7047487	-1145.325912	-923.4400565	-516.3737539	-785.9500662	416.5741167	-1430.80992
grapevine	NY_germplasm	Vitis_acerifolia	588448	2017	1	9	9	501.634664	487.2862701	446.9225107	391.4942266	482.6666804	329.6084234	537.0237901	289.4786436	-778.4328257	198.193517	-603.4455988	216.7320957	-775.2349118	-971.8998716	-356.0381975	-568.8436146	-354.3086638	-2219.840533
grapevine	NY_germplasm	Vitis_acerifolia	588442	2013	12	3	14	578.392506	431.7594714	544.1524605	400.4404482	593.9983803	364.7552166	653.8380038	344.737159	-914.6824029	330.0331357	-753.6335249	323.6835825	-868.8379141	-776.0221251	-519.5333524	-669.5028032	20.26881115	-1899.612663
grapevine	NY_germplasm	Vitis_acerifolia	588378	2017	4	4	7	560.861124	388.4355055	466.354511	358.4969363	555.856588	319.9674729	612.1951009	287.5061788	-798.8381803	676.1008167	-738.961042	487.0875908	-855.4835478	-1040.604533	-452.4753301	-811.7323128	206.3913985	-1647.025961
grapevine	NY_germplasm	Vitis_acerifolia	588459	2013	5	10	14	458.0109731	385.5643724	444.3057517	350.8553478	482.5664035	328.0532742	539.5528106	323.4767384	-786.0118571	547.1014198	-564.7310487	437.5123375	-994.2645179	-924.1153463	-497.9582798	-756.5785049	239.9824971	-1946.003596
grapevine	NY_germplasm	Vitis_acerifolia	318684	2015	7	8	14	445.575576	394.8575807	437.0561346	382.3139733	448.2268587	346.265528	486.164043	343.4074709	-657.5241766	733.2480359	-521.5755265	592.1369029	-872.3048423	-1047.118116	-478.5317075	-865.9614625	250.9391661	-1880.557922
grapevine	NY_germplasm	Vitis_acerifolia	588141	2015	14	1	14	463.4128286	444.4596068	467.9780832	401.6418467	541.9732252	365.8106857	627.2492668	340.2661933	-785.7950975	555.66664	-729.0818634	451.0425043	-820.1970242	-904.3364971	-408.3049407	-868.5334172	26.90026123	-1557.37213
grapevine	NY_germplasm	Vitis_acerifolia	588144	2016	2	9	10	512.2307173	517.1480572	419.0118837	401.7044421	522.6401966	417.9608665	620.2426417	409.2894959	-874.9521802	245.8498073	-634.377553	203.2661564	-747.584628	-1023.71045	-363.6416337	-673.6094435	-584.8159024	-1785.38526
grapevine	NY_germplasm	Vitis_acerifolia	588393	2017	1	7	7	456.6446814	509.6428263	377.7914605	417.749422	464.7341505	367.0319815	581.9862751	331.6501056	-690.5213299	440.8214754	-577.1330925	438.767805	-780.9766695	-949.4216758	-500.3422564	-748.0056641	-105.6066737	-2098.886554
grapevine	NY_germplasm	Vitis_acerifolia	588459	2015	12	1	12	541.4314236	435.7489883	483.6231945	397.6241887	507.4978816	351.8520464	575.817673	347.2126495	-988.9103618	480.4725	-718.3937584	389.3610537	-865.3561795	-1107.397408	-428.2123383	-678.5178547	110.8284677	-1603.483916
grapevine	NY_germplasm	Vitis_acerifolia	588325	2015	2	8	9	520.6332854	489.8480054	528.5917825	449.5247593	563.1129877	423.0154374	613.1246141	412.076616	-918.2279891	187.0715264	-652.3077104	165.0258938	-743.3610891	-960.966247	-434.4748534	-660.9835755	-475.9245268	-1847.482902
grapevine	NY_germplasm	Vitis_acerifolia	588393	2015	5	7	11	458.4736945	377.4643377	448.3117272	348.6566802	491.4305556	330.1978285	537.2919403	317.0305896	-825.1716678	576.177629	-747.7309485	313.261212	-870.1445347	-1027.012553	-506.5416837	-789.0685022	183.1395554	-1808.563107
